rank,contractor,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25
1,TURNER,0,0,0,0,0,0,0,0,0,0,0
2,BECHTEL,1,1,1,1,1,1,1,1,1,1,1
3,MASTEC,1,1,1,1,1,1,1,1,1,1,1
4,KIEWIT,1,1,1,1,1,1,1,1,1,1,1
5,STO BUILDING,0,0,0,0,0,0,0,0,0,0,0
6,DPR CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
7,WHITING-TURNER CONTRACTING,0,0,0,0,0,0,0,0,0,0,0
8,FLUOR,1,1,1,1,1,1,1,1,1,1,1
9,CLARK GROUP,1,0,0,0,0,0,0,0,0,0,0
10,SKANSKA USA,1,1,1,1,1,1,1,1,1,1,1
11,HENSEL PHELPS,1,1,1,1,1,1,1,1,1,1,1
12,GILBANE BUILDING,1,1,1,1,1,1,1,1,1,1,1
13,PCL CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
14,AECOM,1,1,1,1,1,1,1,1,1,1,1
15,WALSH GROUP,1,1,1,1,1,1,1,1,1,1,1
16,JE DUNN CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
17,ARCO CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
18,HITT CONTRACTING,1,1,1,1,1,1,1,1,1,1,1
19,MCCARTHY HOLDINGS,1,1,1,1,1,1,1,1,1,1,1
20,CLAYCO,1,1,1,1,1,1,1,1,1,1,1
21,BRASFIELD & GORRIE,1,0,0,0,0,0,0,0,0,0,0
22,MORTENSON,1,1,1,1,1,1,1,1,1,1,1
23,TUTOR PERINI,1,1,1,1,1,1,1,1,1,1,1
24,SUFFOLK CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
25,BARTON MALOW,1,1,1,1,1,1,1,1,1,1,1
26,BALFOUR BEATTY US,1,1,1,1,1,1,1,1,1,1,1
27,HOLDER CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1
