timestamp,US Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2026-01-15 23:00:12 UTC,669932,11481,3692,14695,8998,43427,15831,11157,6384,5119,39558,19544,4417,8315,18052,13522,9577,9375,9886,10547,6899,14808,15595,14492,12237,7973,12880,6925,7975,10134,7536,16303,7274,28160,18791,6194,17440,10019,10930,19140,6553,13937,6277,14125,39990,10329,5766,17231,14324,6824,12093,6208
2026-01-16 06:25:42 UTC,669973,11481,3692,14695,8998,43430,15831,11158,6384,5119,39559,19546,4418,8315,18053,13522,9577,9376,9887,10547,6899,14809,15596,14492,12238,7973,12881,6925,7976,10135,7536,16304,7275,28161,18794,6194,17442,10019,10932,19142,6553,13939,6277,14125,39995,10331,5766,17233,14325,6824,12093,6208
2026-01-17 06:23:29 UTC,670125,11482,3693,14699,8998,43442,15835,11161,6384,5120,39567,19554,4419,8318,18056,13526,9577,9377,9892,10548,6901,14812,15597,14494,12240,7972,12882,6925,7978,10140,7537,16307,7278,28172,18798,6195,17444,10019,10935,19148,6554,13942,6277,14130,40008,10337,5767,17237,14328,6825,12095,6210
2026-01-18 06:23:36 UTC,670143,11482,3693,14699,8998,43441,15835,11162,6385,5120,39568,19554,4419,8318,18056,13527,9577,9377,9892,10548,6903,14811,15598,14495,12240,7972,12882,6926,7978,10140,7538,16308,7278,28173,18798,6195,17444,10020,10935,19149,6555,13942,6278,14131,40009,10337,5768,17237,14328,6825,12096,6210
2026-01-19 06:30:39 UTC,670163,11483,3693,14701,9001,43443,15835,11162,6385,5120,39568,19555,4419,8318,18056,13527,9577,9377,9893,10549,6903,14811,15598,14495,12240,7974,12883,6926,7978,10141,7538,16308,7278,28174,18798,6195,17444,10020,10935,19149,6555,13942,6278,14132,40011,10337,5768,17237,14328,6825,12097,6210
2026-01-20 06:27:59 UTC,670288,11484,3692,14702,9002,43453,15837,11166,6385,5122,39579,19560,4419,8320,18061,13531,9580,9378,9896,10550,6903,14811,15604,14498,12239,7975,12886,6926,7979,10141,7540,16312,7278,28183,18799,6194,17447,10020,10936,19151,6557,13945,6278,14137,40029,10341,5768,17239,14330,6824,12098,6210
2026-01-21 06:27:43 UTC,670587,11490,3692,14704,9011,43466,15839,11175,6387,5122,39598,19568,4420,8324,18067,13539,9583,9381,9899,10558,6908,14815,15610,14502,12245,7980,12892,6928,7981,10143,7545,16322,7286,28201,18814,6195,17454,10028,10938,19159,6560,13956,6281,14142,40046,10347,5770,17248,14333,6829,12102,6211
2026-01-22 06:26:37 UTC,670895,11501,3693,14714,9018,43490,15847,11179,6389,5129,39616,19581,4420,8331,18074,13546,9587,9386,9904,10564,6909,14821,15615,14505,12247,7985,12901,6930,7984,10147,7548,16326,7295,28210,18822,6196,17460,10034,10941,19164,6563,13960,6282,14146,40077,10355,5771,17253,14338,6830,12106,6212
2026-01-23 06:25:54 UTC,671156,11507,3694,14721,9021,43495,15853,11185,6391,5133,39637,19589,4421,8334,18079,13554,9592,9389,9910,10569,6913,14830,15624,14508,12250,7989,12907,6934,7986,10149,7552,16331,7296,28221,18828,6197,17464,10037,10947,19167,6566,13966,6284,14152,40093,10358,5774,17260,14347,6834,12110,6215
2026-01-24 06:23:50 UTC,671102,11508,3692,14719,9019,43489,15851,11183,6393,5137,39646,19588,4421,8331,18078,13553,9588,9383,9906,10569,6911,14832,15628,14510,12246,7987,12903,6933,7983,10142,7550,16338,7290,28225,18829,6195,17459,10036,10942,19175,6565,13968,6282,14151,40094,10353,5772,17263,14346,6832,12105,6210
2026-01-25 06:24:05 UTC,671152,11508,3693,14720,9020,43493,15851,11184,6393,5137,39649,19591,4421,8331,18079,13555,9588,9384,9908,10572,6911,14832,15628,14510,12246,7988,12904,6933,7983,10142,7550,16340,7291,28227,18832,6195,17460,10038,10942,19178,6565,13970,6282,14155,40097,10353,5772,17264,14346,6832,12106,6210
2026-01-26 06:29:20 UTC,671168,11508,3693,14720,9020,43495,15851,11184,6394,5137,39650,19591,4421,8331,18079,13555,9588,9385,9908,10572,6911,14833,15629,14510,12246,7988,12905,6933,7983,10143,7550,16341,7291,28227,18833,6195,17460,10038,10942,19179,6565,13970,6282,14156,40098,10354,5772,17264,14347,6832,12106,6210
2026-01-27 06:27:04 UTC,671401,11513,3695,14729,9024,43509,15858,11188,6396,5138,39664,19598,4424,8336,18083,13558,9591,9387,9911,10578,6915,14834,15635,14513,12250,7992,12907,6938,7986,10147,7554,16345,7297,28237,18839,6197,17463,10042,10947,19183,6567,13973,6285,14160,40113,10357,5775,17268,14352,6834,12110,6213
2026-01-28 06:28:42 UTC,671817,11525,3696,14732,9033,43520,15869,11196,6402,5141,39694,19611,4425,8341,18091,13565,9597,9393,9915,10590,6918,14838,15640,14520,12258,8001,12913,6946,7990,10152,7556,16355,7303,28253,18852,6203,17473,10049,10952,19194,6569,13983,6291,14174,40138,10365,5779,17280,14364,6837,12120,6222
2026-01-29 06:39:27 UTC,672060,11529,3696,14737,9036,43533,15876,11200,6403,5143,39697,19613,4427,8349,18097,13569,9600,9398,9921,10596,6920,14843,15643,14521,12262,8005,12918,6950,7993,10158,7558,16361,7309,28261,18860,6205,17478,10055,10957,19197,6570,13986,6295,14181,40165,10371,5780,17283,14370,6840,12126,6226
2026-01-30 06:40:26 UTC,672332,11531,3697,14741,9039,43552,15881,11201,6407,5144,39708,19619,4428,8355,18102,13575,9604,9401,9924,10599,6922,14848,15651,14529,12267,8010,12922,6955,7997,10163,7560,16367,7314,28274,18865,6209,17481,10061,10959,19203,6572,13993,6302,14185,40190,10376,5782,17290,14375,6847,12133,6229
2026-01-31 06:31:20 UTC,672500,11533,3697,14747,9042,43566,15885,11204,6406,5145,39724,19625,4428,8359,18109,13576,9607,9400,9926,10602,6923,14850,15656,14528,12273,8012,12928,6956,7999,10167,7563,16369,7317,28280,18866,6209,17482,10066,10960,19206,6575,13993,6302,14188,40206,10378,5786,17297,14379,6849,12133,6231
2026-02-01 06:42:19 UTC,672529,11535,3697,14747,9042,43568,15887,11205,6406,5145,39727,19628,4428,8359,18110,13577,9608,9401,9926,10602,6924,14850,15654,14528,12272,8012,12928,6956,8000,10167,7564,16370,7317,28280,18868,6209,17482,10067,10960,19206,6575,13995,6302,14191,40207,10378,5786,17298,14379,6849,12134,6231
2026-02-02 06:56:29 UTC,672540,11535,3697,14747,9042,43568,15887,11205,6406,5145,39729,19628,4428,8359,18111,13578,9608,9401,9926,10603,6924,14850,15654,14528,12272,8012,12928,6956,8000,10167,7564,16370,7317,28280,18869,6209,17482,10068,10960,19206,6575,13996,6302,14191,40208,10378,5786,17298,14380,6849,12134,6232
